Date,Open,High,Low,Close,Adj Close,Volume
2010-07-14,8.906429,9.135714,8.892857,9.026071,7.749933,812047600
2010-07-15,8.865357,9.177500,8.832143,8.980357,7.710684,824866000
2010-07-16,9.042143,9.106071,8.871786,8.925000,7.663153,1039858400
2010-07-19,8.924286,8.924286,8.557143,8.770714,7.530678,1024478000
2010-07-20,8.675000,9.032143,8.571786,8.996071,7.724172,1074950800
2010-07-21,9.467500,9.469643,9.071429,9.080000,7.796237,1185671200
2010-07-22,9.202857,9.285714,9.118214,9.250714,7.942816,645318800
2010-07-23,9.181786,9.299286,9.152857,9.283571,7.971026,533388800
2010-07-26,9.285714,9.289286,9.203929,9.260000,7.950787,420551600
2010-07-27,9.316786,9.457143,9.296429,9.431429,8.097982,584771600
2010-07-28,9.416786,9.499643,9.294643,9.320000,8.002307,519985200
2010-07-29,9.311071,9.380357,9.146429,9.218214,7.914909,643806800
2010-07-30,9.138929,9.275000,9.103571,9.187500,7.888540,448210000
2010-08-02,9.301429,9.378214,9.272143,9.351786,8.029596,428055600
2010-08-03,9.321786,9.402143,9.265000,9.354643,8.032053,417653600
2010-08-04,9.387143,9.438571,9.296786,9.392143,8.064249,420375200
2010-08-05,9.347500,9.399286,9.305357,9.346429,8.024997,289097200
2010-08-06,9.277857,9.338929,9.201071,9.288929,7.975628,444897600
2010-08-09,9.338571,9.362500,9.270357,9.348214,8.026529,303128000
2010-08-10,9.280357,9.301786,9.198214,9.264643,7.954775,451920000
2010-08-11,9.121429,9.131786,8.921786,8.935357,7.672046,620054400
2010-08-12,8.810357,9.039286,8.790000,8.992500,7.721110,534920400
2010-08-13,8.987500,8.995714,8.896071,8.896429,7.638622,354869200
2010-08-16,8.842143,8.928929,8.807857,8.844286,7.593850,318430000
2010-08-17,8.931429,9.093929,8.900000,8.998929,7.726629,422640400
2010-08-18,9.012857,9.095357,8.985000,9.038214,7.760361,339696000
2010-08-19,9.030000,9.052857,8.881429,8.924286,7.662538,426706000
2010-08-20,8.906786,9.068571,8.892857,8.915714,7.655180,384230000
2010-08-23,8.992500,9.000000,8.758929,8.778571,7.537425,414041600
2010-08-24,8.666786,8.678571,8.523214,8.568929,7.357423,602565600
2010-08-25,8.501429,8.713929,8.471429,8.674643,7.448193,596867600
2010-08-26,8.766071,8.776786,8.581429,8.581429,7.368154,466505200
2010-08-27,8.633929,8.664643,8.412857,8.629286,7.409247,548391200
2010-08-30,8.598571,8.776786,8.595714,8.660714,7.436231,383289200
2010-08-31,8.637500,8.734286,8.583929,8.682143,7.454631,420786800
2010-09-01,8.838214,8.980714,8.795714,8.940357,7.676339,697037600
2010-09-02,8.973571,9.006071,8.877500,9.006071,7.732760,415427600
2010-09-03,9.110357,9.242143,9.089286,9.241786,7.935147,520788800
2010-09-07,9.165714,9.268929,9.151786,9.207500,7.905713,342557600
2010-09-08,9.277857,9.442500,9.253571,9.390000,8.062408,526551200
2010-09-09,9.465714,9.518571,9.390000,9.395357,8.067007,438575200
2010-09-10,9.399643,9.446429,9.335714,9.407500,8.077436,387542400
2010-09-13,9.493571,9.581429,9.491429,9.537143,8.188746,388780000
2010-09-14,9.507500,9.613214,9.482857,9.573571,8.220023,408150400
2010-09-15,9.577500,9.656429,9.565714,9.650714,8.286261,429368800
2010-09-16,9.651429,9.881071,9.625000,9.877500,8.480981,652103200
2010-09-17,9.917500,9.927143,9.774286,9.834643,8.444182,634477200
2010-09-20,9.860000,10.135000,9.851786,10.115357,8.685212,658677600
2010-09-21,10.137857,10.262500,10.099643,10.134643,8.701772,668074400
2010-09-22,10.096786,10.285000,10.086071,10.276786,8.823818,585289600
2010-09-23,10.226071,10.455714,10.214286,10.318571,8.859696,786116800
2010-09-24,10.432143,10.483214,10.376786,10.440000,8.963958,649488000
2010-09-27,10.499286,10.526071,10.393214,10.398571,8.928381,482834800
2010-09-28,10.420357,10.420357,9.821429,10.245000,8.796526,1035042400
2010-09-29,10.258214,10.350357,10.214286,10.263214,8.812163,469644000
2010-09-30,10.321429,10.357143,10.044643,10.133929,8.701159,673391600
2010-10-01,10.219643,10.235000,10.048214,10.090000,8.663440,448142800
2010-10-04,10.057143,10.103571,9.920357,9.951429,8.544459,435302000
2010-10-05,10.071429,10.337500,10.065000,10.319286,8.860308,501967200
2010-10-06,10.342500,10.428214,10.187857,10.328214,8.867975,670868800
2010-10-07,10.369286,10.374286,10.246786,10.329286,8.868896,408399600
2010-10-08,10.418214,10.517857,10.357143,10.502500,9.017615,658403200
2010-10-11,10.526429,10.615714,10.521429,10.548571,9.057177,427753200
2010-10-12,10.550357,10.696429,10.446071,10.662143,9.154693,558544000
2010-10-13,10.721429,10.784286,10.707143,10.719286,9.203756,630092400
2010-10-14,10.774643,10.802500,10.728571,10.796786,9.270299,435296400
2010-10-15,10.980000,11.250000,10.889643,11.240714,9.651461,922194000
2010-10-18,11.373929,11.392857,11.224643,11.357143,9.751428,1093010800
2010-10-19,10.835714,11.206071,10.715000,11.053214,9.490472,1232784000
2010-10-20,11.035714,11.223214,10.959643,11.090357,9.522360,721624400
2010-10-21,11.155714,11.240714,10.957143,11.054286,9.491393,551460000
2010-10-22,11.038214,11.072857,10.939286,10.981071,9.428529,372778000
2010-10-25,11.038929,11.128571,11.015714,11.030000,9.470538,392462000
2010-10-26,10.959643,11.062143,10.916071,11.001786,9.446313,392929600
2010-10-27,10.987500,11.067857,10.914286,10.993929,9.439569,399002800
2010-10-28,10.998214,11.000000,10.746429,10.901429,9.360147,551051200
2010-10-29,10.865357,10.924286,10.745357,10.749286,9.229511,430511200
2010-11-01,10.793571,10.914286,10.792857,10.863571,9.327641,423889200
2010-11-02,10.964286,11.078214,10.964286,11.048571,9.486484,433930000
2010-11-03,11.120357,11.174286,11.018929,11.171429,9.591969,508348400
2010-11-04,11.266071,11.435000,11.251071,11.366786,9.759710,642488000
2010-11-05,11.356786,11.413214,11.312500,11.326071,9.724748,361253200
2010-11-08,11.328571,11.420357,11.312857,11.379286,9.770443,281758400
2010-11-09,11.466071,11.475000,11.232143,11.288571,9.692553,383544000
2010-11-10,11.308571,11.384643,11.198214,11.358214,9.752352,384227200
2010-11-11,11.250000,11.371429,11.223214,11.308929,9.710032,361284000
2010-11-12,11.285714,11.303571,10.843929,11.001071,9.445703,795846800
2010-11-15,11.016429,11.090714,10.938214,10.965714,9.415342,403606000
2010-11-16,10.918571,10.985714,10.690000,10.771071,9.248219,657650000
2010-11-17,10.757143,10.856786,10.634286,10.732143,9.214793,479449600
2010-11-18,10.900000,11.059643,10.881786,11.015357,9.457967,494491200
2010-11-19,10.998929,11.014286,10.901429,10.954643,9.405837,384843200
2010-11-22,10.952857,11.191429,10.923929,11.191429,9.609143,393075200
2010-11-23,11.087500,11.133929,10.948571,11.026071,9.467165,519447600
2010-11-24,11.142857,11.264286,11.133929,11.242857,9.653302,413725200
2010-11-26,11.205000,11.346429,11.176429,11.250000,9.659433,237585600
2010-11-29,11.267857,11.338571,11.120714,11.316786,9.716777,445785200
2010-11-30,11.197857,11.227143,11.102500,11.112500,9.541375,501858000
2010-12-01,11.259643,11.348214,11.250000,11.300000,9.702365,461750800
2010-12-02,11.340357,11.392857,11.246071,11.362500,9.756029,462837200
2010-12-03,11.321786,11.380357,11.297857,11.337143,9.734256,342092800
2010-12-06,11.380000,11.511786,11.372143,11.433929,9.817361,448481600
2010-12-07,11.564286,11.571071,11.361429,11.364643,9.757869,391454000
2010-12-08,11.415357,11.465000,11.325357,11.464643,9.843730,321935600
2010-12-09,11.504643,11.517857,11.393571,11.420000,9.805399,294151200
2010-12-10,11.416071,11.466071,11.378571,11.448571,9.829931,262511200
2010-12-13,11.584643,11.609286,11.464286,11.488214,9.863968,439815600
2010-12-14,11.490357,11.519286,11.392857,11.438929,9.821649,351008000
2010-12-15,11.428571,11.535714,11.399643,11.441429,9.823801,417312000
2010-12-16,11.467500,11.521786,11.432143,11.473214,9.851089,322030800
2010-12-17,11.486786,11.492500,11.436786,11.450357,9.831468,386929200
2010-12-20,11.485714,11.544643,11.365357,11.507500,9.880527,385610400
2010-12-21,11.535714,11.585357,11.501786,11.578571,9.941552,256354000
2010-12-22,11.584286,11.632857,11.555357,11.612857,9.970989,265921600
2010-12-23,11.607143,11.612500,11.541786,11.557143,9.923152,223157200
2010-12-27,11.530357,11.622857,11.482857,11.595714,9.956271,249816000
2010-12-28,11.639643,11.666429,11.609286,11.623929,9.980498,175924000
2010-12-29,11.650714,11.658929,11.610714,11.617500,9.974978,163139200
2010-12-30,11.624286,11.625357,11.537500,11.559286,9.924994,157494400
2010-12-31,11.533929,11.552857,11.475357,11.520000,9.891260,193508000
2011-01-03,11.630000,11.795000,11.601429,11.770357,10.106220,445138400
2011-01-04,11.872857,11.875000,11.719643,11.831786,10.158968,309080800
2011-01-05,11.769643,11.940714,11.767857,11.928571,10.242065,255519600
2011-01-06,11.954286,11.973214,11.889286,11.918929,10.233788,300428800
2011-01-07,11.928214,12.012500,11.853571,12.004286,10.307076,311931200
2011-01-10,12.101071,12.258214,12.041786,12.230357,10.501186,448560000
2011-01-11,12.317143,12.320000,12.123929,12.201429,10.476346,444108000
2011-01-12,12.258929,12.301071,12.214286,12.300714,10.561597,302590400
2011-01-13,12.327143,12.380000,12.280357,12.345714,10.600232,296780400
2011-01-14,12.353214,12.445714,12.301429,12.445714,10.686095,308840000
2011-01-18,11.768571,12.312857,11.642857,12.166071,10.445988,1880998000
2011-01-19,12.441071,12.450000,12.031429,12.101429,10.390486,1135612800
2011-01-20,12.015357,12.082143,11.790000,11.881429,10.201591,764789200
2011-01-21,11.920357,11.960000,11.665357,11.668571,10.018828,754401200
2011-01-24,11.673929,12.051786,11.668571,12.051786,10.347859,574683200
2011-01-25,12.011786,12.194286,11.948929,12.192857,10.468987,546868000
2011-01-26,12.248571,12.342857,12.196429,12.280357,10.544117,506875600
2011-01-27,12.277857,12.310357,12.243929,12.257500,10.524491,285026000
2011-01-28,12.291786,12.300000,11.911786,12.003571,10.306463,592057200
2011-01-31,11.992857,12.144286,11.939286,12.118571,10.405201,377246800
2011-02-01,12.189286,12.344643,12.177857,12.322500,10.580302,426633200
2011-02-02,12.301786,12.330357,12.269643,12.297143,10.558526,258955200
2011-02-03,12.278571,12.294286,12.091071,12.265714,10.531543,393797600
2011-02-04,12.272857,12.382143,12.268214,12.375000,10.625377,321840400
2011-02-07,12.424643,12.616071,12.415714,12.567143,10.790355,485021600
2011-02-08,12.631429,12.697143,12.576786,12.685714,10.892164,381040800
2011-02-09,12.685357,12.821429,12.673929,12.791429,10.982929,482745200
2011-02-10,12.763929,12.857143,12.428571,12.662143,10.871924,928550000
2011-02-11,12.669643,12.778571,12.626429,12.744643,10.942759,367572800
2011-02-14,12.742500,12.838571,12.739643,12.827857,11.014209,310416400
2011-02-15,12.828214,12.856071,12.769643,12.853571,11.036288,284174800
2011-02-16,12.885714,13.032143,12.875000,12.968929,11.135335,481157600
2011-02-17,12.758929,12.866786,12.732857,12.796429,10.987222,530583200
2011-02-18,12.811071,12.839286,12.482857,12.520000,10.749877,816057200
